,CA_GM34_1,CA_GM34_10,CA_GM34_11,CA_GM34_12,CA_GM34_13,CA_GM34_14,CA_GM34_15,CA_GM34_16,CA_GM34_17,CA_GM34_18,CA_GM34_19a,CA_GM34_19b
CA_GM34_19b,2.2961842040538816,0.374693449441411,1.16315080980568,0.0,2.77258872223978,1.38629436111989,0.693147180559945,0.980829253011726,1.67397643357167,0.0,0.20763936477824396,0.0
CA_GM34_20,2.3518099353442086,0.980829253011726,0.980829253011726,0.0,2.07944154167984,1.16315080980568,1.16315080980568,1.38629436111989,1.67397643357167,0.0,0.826678573184468,0.693147180559945
CA_GM34_21,2.284872263562389,0.470003629245736,0.980829253011726,0.0,1.67397643357167,1.16315080980568,0.693147180559945,1.38629436111989,1.38629436111989,0.0,0.575364144903562,0.575364144903562
CA_GM34_22,2.77258872223978,1.38629436111989,1.67397643357167,0.0,1.38629436111989,1.38629436111989,2.07944154167984,2.07944154167984,1.67397643357167,0.0,2.07944154167984,1.67397643357167
CA_GM34_23,2.77258872223978,0.826678573184468,0.980829253011726,0.0,1.38629436111989,1.16315080980568,1.38629436111989,1.38629436111989,1.67397643357167,0.0,0.826678573184468,0.575364144903562
CA_GM34_24,0.575364144903562,1.67397643357167,2.07944154167984,0.0,1.16315080980568,2.07944154167984,1.38629436111989,1.67397643357167,1.67397643357167,0.0,2.07944154167984,1.38629436111989
CA_GM34_25,2.3572299708342483,2.07944154167984,0.575364144903562,0.0,1.67397643357167,0.575364144903562,1.16315080980568,0.980829253011726,0.980829253011726,0.0,2.07944154167984,1.16315080980568
CA_GM34_26,2.07944154167984,1.16315080980568,0.980829253011726,0.0,2.07944154167984,1.16315080980568,0.826678573184468,0.826678573184468,0.826678573184468,0.0,1.38629436111989,1.38629436111989
CA_GM34_27,2.77258872223978,1.16315080980568,1.38629436111989,0.0,2.351825578665136,1.67397643357167,0.470003629245736,1.38629436111989,0.980829253011726,0.0,0.980829253011726,0.826678573184468
CA_GM34_29,2.174669051415009,1.9385715844488378,1.9046086614619924,0.0,2.203721086391005,1.8346484650099826,1.937853628213872,1.9105279013188488,1.931155942937834,0.0,1.9520753322425544,1.9192875266166094
CA_GM34_2a,2.77258872223978,2.77258872223978,0.980829253011726,0.0,2.07944154167984,0.980829253011726,2.07944154167984,2.77258872223978,0.980829253011726,0.0,2.77258872223978,2.07944154167984
