,CA_Bu_JH_PJ29_1,CA_Bu_JH_PJ29_10,CA_Bu_JH_PJ29_11,CA_Bu_JH_PJ29_12,CA_Bu_JH_PJ29_13,CA_Bu_JH_PJ29_14,CA_Bu_JH_PJ29_15,CA_Bu_JH_PJ29_17,CA_Bu_JH_PJ29_19,CA_Bu_JH_PJ29_2,CA_Bu_JH_PJ29_20,CA_Bu_JH_PJ29_21,CA_Bu_JH_PJ29_22,CA_Bu_JH_PJ29_23,CA_Bu_JH_PJ29_3,CA_Bu_JH_PJ29_4,CA_Bu_JH_PJ29_5,CA_Bu_JH_PJ29_6,CA_Bu_JH_PJ29_7,CA_Bu_JH_PJ29_8,CA_Bu_JH_PJ29_9,CA_Bu_JH_PJ30_1,CA_Bu_JH_PJ30_10,CA_Bu_JH_PJ30_11,CA_Bu_JH_PJ30_12,CA_Bu_JH_PJ30_13,CA_Bu_JH_PJ30_14,CA_Bu_JH_PJ30_15,CA_Bu_JH_PJ30_16,CA_Bu_JH_PJ30_17,CA_Bu_JH_PJ30_18,CA_Bu_JH_PJ30_19,CA_Bu_JH_PJ30_20,CA_Bu_JH_PJ30_21,CA_Bu_JH_PJ30_22,CA_Bu_JH_PJ30_23,CA_Bu_JH_PJ30_24,CA_Bu_JH_PJ30_3,CA_Bu_JH_PJ30_4,CA_Bu_JH_PJ30_5,CA_Bu_JH_PJ30_6,CA_Bu_JH_PJ30_7,CA_Bu_JH_PJ30_8,CA_Bu_JH_PJ30_9
CA_Bu_JH_PJ29_20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Bu_JH_PJ29_21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Bu_JH_PJ29_22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Bu_JH_PJ29_23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Bu_JH_PJ29_3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Bu_JH_PJ29_4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Bu_JH_PJ29_5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Bu_JH_PJ29_6,0.541431965849985,NA,NA,NA,0.788292043781511,1.42403468910274,NA,NA,NA,1.31144619638095,NA,NA,NA,NA,NA,NA,NA,0,NA,0.810930216216329,0.602818052586377,0.993251773010283,2.54379816761619,1.52226121886171,NA,NA,NA,1.46559687620821,1.85065098705625,NA,3.27696670201291,1.85065098705625,2.50029247912138,1.44518587894808,NA,NA,NA,NA,2.62087350752982,3.95050352599621,1.55260825319784,2.60268968544438,1.64791843300216,NA
CA_Bu_JH_PJ29_7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Bu_JH_PJ29_8,1.1739545245935,NA,NA,NA,0.829114038301766,1.34992671694902,NA,NA,NA,1.46559687620821,NA,NA,NA,NA,NA,NA,NA,0.810930216216329,NA,0,0.75123805770465,1.28093384546206,1.62750743574204,2.21540839942166,NA,NA,NA,1.64791843300216,2.32065461630198,NA,3.97011388257285,2.83148024006797,3.88658684024127,1.62750743574204,NA,NA,NA,NA,3.31402068808977,3.25735634543627,1.87106198431637,3.29583686600433,1.87106198431637,NA
CA_Bu_JH_PJ29_9,0.810243874310343,NA,NA,NA,0.992565431104297,1.48520723278485,NA,NA,NA,1.85219182032495,NA,NA,NA,NA,NA,NA,NA,0.602818052586377,NA,0.75123805770465,0,1.02567490340641,1.83178082306482,1.50339105487029,NA,NA,NA,1.85219182032495,2.1194628955166,NA,2.56494935746154,2.1194628955166,2.07595720702179,1.83178082306482,NA,NA,NA,NA,1.90885616297845,2.13987389277673,2.13987389277673,2.58381952145296,1.62904826901074,NA
CA_Bu_JH_PJ30_1,0.788292043781511,NA,NA,NA,1.01143559509572,1.34992671694902,NA,NA,NA,1.17791480375643,NA,NA,NA,NA,NA,NA,NA,0.993251773010283,NA,1.28093384546206,1.02567490340641,0,1.98418237968077,1.60927259585134,NA,NA,NA,2.15874405676816,2.32065461630198,NA,3.27696670201291,2.32065461630198,2.27714892780717,1.53219725593771,NA,NA,NA,NA,3.31402068808977,2.15874405676816,2.56420916487632,1.90954250488444,1.87106198431637,NA
CA_Bu_JH_PJ30_10,2.33883843838742,NA,NA,NA,3.25512917026157,1.62750743574204,NA,NA,NA,1.81217046648818,NA,NA,NA,NA,NA,NA,NA,2.54379816761619,NA,1.62750743574204,1.83178082306482,1.98418237968077,0,0.952544077267529,NA,NA,NA,0.800569554809703,0.826678573184468,NA,1.20317216364245,0.780158557549575,0.783172884689653,0.826678573184468,NA,NA,NA,NA,0.857233897463204,0.756117792238869,1.0583986641118,0.711216703867882,1.18356180706581,NA
CA_Bu_JH_PJ30_11,1.38629436111989,NA,NA,NA,1.54044504094715,1.80994329131349,NA,NA,NA,2.58239298696176,NA,NA,NA,NA,NA,NA,NA,1.52226121886171,NA,2.21540839942166,1.50339105487029,1.60927259585134,0.952544077267529,0,NA,NA,NA,1.6661022550876,1.05790459292536,NA,0.992565431104297,1.46336970103352,1.26571333271145,1.64569125782747,NA,NA,NA,NA,1.54044504094715,0.972955074527657,1.6661022550876,1.23457914640993,1.07831559018548,NA
CA_Bu_JH_PJ30_12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Bu_JH_PJ30_13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Bu_JH_PJ30_14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Bu_JH_PJ30_15,2.58239298696176,NA,NA,NA,NA,1.87106198431637,NA,NA,NA,2.12026353620009,NA,NA,NA,NA,NA,NA,NA,1.46559687620821,NA,1.64791843300216,1.85219182032495,2.15874405676816,0.800569554809703,1.6661022550876,NA,NA,NA,0,0.595775142163689,NA,1.36668400454325,0.633515470146537,0.382370416873477,0.800569554809702,NA,NA,NA,NA,0.749811523213447,1.27296567581289,0.82098055206983,0.815009310067061,0.693147180559945,NA
CA_Bu_JH_PJ30_16,2.33883843838742,NA,NA,NA,2.84966406215341,2.13833305950803,NA,NA,NA,2.09985253893996,NA,NA,NA,NA,NA,NA,NA,1.85065098705625,NA,2.32065461630198,2.1194628955166,2.32065461630198,0.826678573184468,1.05790459292536,NA,NA,NA,0.595775142163689,0,NA,0.966783385578219,0.538996500732687,0.331187760946596,0.826678573184468,NA,NA,NA,NA,0.580980520835046,0.800569554809702,0.800569554809702,0.562796698749609,0.490414626505863,NA
