,CA_LA_JC_PJ51_1,CA_LA_JC_PJ51_10,CA_LA_JC_PJ51_11,CA_LA_JC_PJ51_12,CA_LA_JC_PJ51_13,CA_LA_JC_PJ51_14,CA_LA_JC_PJ51_15,CA_LA_JC_PJ51_16,CA_LA_JC_PJ51_17,CA_LA_JC_PJ51_18,CA_LA_JC_PJ51_19,CA_LA_JC_PJ51_2,CA_LA_JC_PJ51_20,CA_LA_JC_PJ51_21,CA_LA_JC_PJ51_22,CA_LA_JC_PJ51_23,CA_LA_JC_PJ51_24,CA_LA_JC_PJ51_3,CA_LA_JC_PJ51_4,CA_LA_JC_PJ51_5,CA_LA_JC_PJ51_6,CA_LA_JC_PJ51_7,CA_LA_JC_PJ51_8,CA_LA_JC_PJ51_9,CA_LA_JC_PJ52_1,CA_LA_JC_PJ52_10,CA_LA_JC_PJ52_11,CA_LA_JC_PJ52_12,CA_LA_JC_PJ52_13,CA_LA_JC_PJ52_14,CA_LA_JC_PJ52_15,CA_LA_JC_PJ52_16,CA_LA_JC_PJ52_17,CA_LA_JC_PJ52_18,CA_LA_JC_PJ52_19,CA_LA_JC_PJ52_2,CA_LA_JC_PJ52_20,CA_LA_JC_PJ52_22,CA_LA_JC_PJ52_23,CA_LA_JC_PJ52_24,CA_LA_JC_PJ52_3,CA_LA_JC_PJ52_4,CA_LA_JC_PJ52_5,CA_LA_JC_PJ52_6,CA_LA_JC_PJ52_7,CA_LA_JC_PJ52_8,CA_LA_JC_PJ52_9
CA_LA_JC_PJ52_1,NA,NA,NA,NA,0.7339691750802,0.654666659991881,NA,0.852374046119213,NA,NA,1.3631996698852,NA,NA,NA,NA,NA,NA,NA,1.40670535838002,NA,NA,NA,0.731627701128009,1.87106198431637,0,NA,NA,NA,NA,0.544727175441672,NA,NA,NA,NA,NA,0.987194382838346,1.18356180706581,NA,NA,NA,NA,NA,0.847089570444596,NA,NA,NA,NA
CA_LA_JC_PJ52_10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_LA_JC_PJ52_11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_LA_JC_PJ52_12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_LA_JC_PJ52_13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_LA_JC_PJ52_14,NA,NA,NA,NA,0.82098055206983,1.17791480375643,NA,0.903667340506763,NA,NA,1.07551759743342,NA,NA,NA,NA,NA,NA,NA,1.49371673536965,NA,NA,NA,1.06013176810005,1.75327894865999,0.544727175441672,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0.935901088450796,1.94570185911271,NA,NA,NA,NA,NA,1.49371673536965,NA,NA,NA,NA
CA_LA_JC_PJ52_15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_LA_JC_PJ52_16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_LA_JC_PJ52_17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_LA_JC_PJ52_18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
