,UT_Ca_JN_PJ17_1,UT_Ca_JN_PJ17_10,UT_Ca_JN_PJ17_11,UT_Ca_JN_PJ17_12,UT_Ca_JN_PJ17_13,UT_Ca_JN_PJ17_14,UT_Ca_JN_PJ17_15,UT_Ca_JN_PJ17_16,UT_Ca_JN_PJ17_17,UT_Ca_JN_PJ17_18,UT_Ca_JN_PJ17_19,UT_Ca_JN_PJ17_2,UT_Ca_JN_PJ17_20,UT_Ca_JN_PJ17_21,UT_Ca_JN_PJ17_22,UT_Ca_JN_PJ17_23,UT_Ca_JN_PJ17_24,UT_Ca_JN_PJ17_3,UT_Ca_JN_PJ17_4,UT_Ca_JN_PJ17_5,UT_Ca_JN_PJ17_6,UT_Ca_JN_PJ17_7,UT_Ca_JN_PJ17_8,UT_Ca_JN_PJ17_9,UT_Ca_JN_PJ18_1,UT_Ca_JN_PJ18_10,UT_Ca_JN_PJ18_11,UT_Ca_JN_PJ18_12,UT_Ca_JN_PJ18_13,UT_Ca_JN_PJ18_14,UT_Ca_JN_PJ18_15,UT_Ca_JN_PJ18_16,UT_Ca_JN_PJ18_17,UT_Ca_JN_PJ18_18,UT_Ca_JN_PJ18_19,UT_Ca_JN_PJ18_2,UT_Ca_JN_PJ18_20,UT_Ca_JN_PJ18_21,UT_Ca_JN_PJ18_22,UT_Ca_JN_PJ18_23,UT_Ca_JN_PJ18_24,UT_Ca_JN_PJ18_3,UT_Ca_JN_PJ18_4,UT_Ca_JN_PJ18_5,UT_Ca_JN_PJ18_6,UT_Ca_JN_PJ18_7,UT_Ca_JN_PJ18_8,UT_Ca_JN_PJ18_9
UT_Ca_JN_PJ17_8,2.34180580614733,NA,1.51332709194629,NA,NA,1.46633706879343,NA,NA,NA,NA,NA,1.29257603238953,NA,NA,NA,1.21570898241851,NA,1.44672671221679,1.01011109100993,1.04385872549185,0.376285300515373,NA,0,NA,NA,NA,1.83178082306482,NA,2.1194628955166,2.50364819641537,1.64865862558738,2.34180580614733,2.25827876381574,1.85219182032495,1.50339105487029,NA,1.97562185929071,NA,2.56494935746154,1.46633706879343,2.02420373351754,1.15966647514763,NA,NA,NA,NA,NA,0.845420119811838
UT_Ca_JN_PJ17_9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UT_Ca_JN_PJ18_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UT_Ca_JN_PJ18_10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UT_Ca_JN_PJ18_11,1.71399778740844,NA,1.23214368129263,NA,NA,0.733168534396713,NA,NA,NA,NA,NA,2.09985253893996,NA,NA,NA,1.05790459292536,NA,1.49371673536965,1.3267646811119,2.56198198970163,1.49371673536965,NA,1.83178082306482,NA,NA,NA,0,NA,1.67397643357167,1.90401105464318,1.51332709194629,1.96531221568935,2.21825740997898,1.6943874308318,1.17568762858174,NA,1.78144982562669,NA,2.1194628955166,1.42631571495666,1.53219725593771,1.42980004961471,NA,NA,NA,NA,NA,1.21086387408323
UT_Ca_JN_PJ18_12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UT_Ca_JN_PJ18_13,1.60863727175061,NA,1.92529086185258,NA,NA,1.96531221568935,NA,NA,NA,NA,NA,2.50531764704813,NA,NA,NA,1.17568762858174,NA,1.81217046648818,1.88638046904732,3.25512917026157,1.6943874308318,NA,2.1194628955166,NA,NA,NA,1.67397643357167,NA,0,1.01670785964228,1.20317216364245,0.692346539876458,1.11964512131087,0.847089570444595,1.05790459292536,NA,1.08830264506674,NA,1.71399778740844,0.445486461944932,1.1575038064963,1.74825378073324,NA,NA,NA,NA,NA,1.65269662636227
UT_Ca_JN_PJ18_14,1.18189235643305,NA,2.75130891503038,NA,NA,1.49204728473689,NA,NA,NA,NA,NA,2.26089428852452,NA,NA,NA,2.13523707438407,NA,2.26089428852452,1.64195711052371,1.28793921399686,2.07857273173057,NA,2.50364819641537,NA,NA,NA,1.90401105464318,NA,1.01670785964228,0,0.798900104176945,1.40503590774726,1.40852024240531,0.65145637609042,1.62441145061808,NA,1.14113081001107,NA,2.79133026886715,1.49204728473689,0.773318505597535,1.72697397352384,NA,NA,NA,NA,NA,2.4423470353692
UT_Ca_JN_PJ18_15,2.56494935746154,NA,1.51332709194629,NA,NA,1.64865862558738,NA,NA,NA,NA,NA,2.13987389277673,NA,NA,NA,1.68571261166424,NA,3.23848618144484,1.36678603494866,1.50339105487029,1.44672671221679,NA,1.64865862558738,NA,NA,NA,1.51332709194629,NA,1.20317216364245,0.798900104176945,0,1.11803037452521,0.776674222891528,0.564337532018313,0.522561801858562,NA,1.57015675118255,NA,3.25809653802148,1.87180217690159,0.504377979773124,1.78827513457001,NA,NA,NA,NA,NA,1.94403240847995
UT_Ca_JN_PJ18_16,1.55334844578306,NA,1.60863727175061,NA,NA,2.56494935746154,NA,NA,NA,NA,NA,3.23848618144484,NA,NA,NA,1.50339105487029,NA,2.13987389277673,1.92640182288409,3.98829770465829,1.98572321294947,NA,2.34180580614733,NA,NA,NA,1.96531221568935,NA,0.692346539876458,1.40503590774726,1.11803037452521,0,0.466519294587689,0.935901088450796,1.34924037504303,NA,1.05933112741656,NA,NA,1.17865499634165,0.879071429214535,1.78827513457001,NA,NA,NA,NA,NA,1.81050101585543
