,CA_Lake_JH_PJ31_1,CA_Lake_JH_PJ31_10,CA_Lake_JH_PJ31_11,CA_Lake_JH_PJ31_12,CA_Lake_JH_PJ31_13,CA_Lake_JH_PJ31_14,CA_Lake_JH_PJ31_15,CA_Lake_JH_PJ31_16,CA_Lake_JH_PJ31_17,CA_Lake_JH_PJ31_18,CA_Lake_JH_PJ31_19,CA_Lake_JH_PJ31_2,CA_Lake_JH_PJ31_20,CA_Lake_JH_PJ31_21,CA_Lake_JH_PJ31_22,CA_Lake_JH_PJ31_23,CA_Lake_JH_PJ31_24,CA_Lake_JH_PJ31_3,CA_Lake_JH_PJ31_4,CA_Lake_JH_PJ31_5,CA_Lake_JH_PJ31_6,CA_Lake_JH_PJ31_7,CA_Lake_JH_PJ31_8,CA_Lake_JH_PJ31_9,CA_Lake_JH_PJ32_1,CA_Lake_JH_PJ32_10,CA_Lake_JH_PJ32_11,CA_Lake_JH_PJ32_12,CA_Lake_JH_PJ32_13,CA_Lake_JH_PJ32_14,CA_Lake_JH_PJ32_15,CA_Lake_JH_PJ32_16,CA_Lake_JH_PJ32_17,CA_Lake_JH_PJ32_18,CA_Lake_JH_PJ32_19,CA_Lake_JH_PJ32_2,CA_Lake_JH_PJ32_20,CA_Lake_JH_PJ32_21,CA_Lake_JH_PJ32_22,CA_Lake_JH_PJ32_23,CA_Lake_JH_PJ32_24,CA_Lake_JH_PJ32_3,CA_Lake_JH_PJ32_4,CA_Lake_JH_PJ32_5,CA_Lake_JH_PJ32_6,CA_Lake_JH_PJ32_7,CA_Lake_JH_PJ32_8,CA_Lake_JH_PJ32_9
CA_Lake_JH_PJ31_20,NA,0.395895657092014,1.29257603238953,2.52492800362477,NA,1.02567490340641,0.550046336919272,0.61538549874033,0.348114423548677,1.20317216364245,0.955511445027436,1.71399778740844,0,0.587100322996133,1.00680473941499,1.21570898241851,NA,0.966783385578219,0.621001874671814,NA,0.674277016568522,0.619039208406223,0.530435980342632,0.693147180559945,2.83302107333668,0.879071429214535,0.733168534396713,3.15130948787245,1.90885616297845,1.36668400454325,0.49764615751964,NA,0.879071429214535,1.31218638896617,1.22358316090258,NA,0.775728148815509,0.999570799639096,0.583947888594953,1.42631571495666,NA,0.945503578368821,0.306552236443204,0.871984402695853,0.97734491835368,0.583947888594953,0.517256514096281,0.712017344551369
CA_Lake_JH_PJ31_21,NA,1.09792594676212,1.07831559018548,3.25512917026157,NA,1.36811053903445,1.09792594676212,1.24022614971931,0.672850482077319,0.770222520473574,1.21570898241851,1.30921902120626,0.587100322996133,0,0.943775266934865,1.02961941718116,NA,0.952544077267529,1.13497993283898,NA,0.48080734403355,0.769421879790088,1.07831559018548,0.810243874310343,NA,1.01143559509572,0.952544077267529,NA,2.23359222150709,1.48378069829365,1.19609862584187,NA,0.74907133062823,0.810243874310343,0.790633517733702,NA,0.690179812800038,0.748942713264176,0.992565431104297,1.46336970103352,NA,1.28793921399686,0.74907133062823,0.646674124305223,1.13218194008692,0.656093194483084,0.810243874310343,0.674963358474508
CA_Lake_JH_PJ31_22,NA,0.655406852577098,1.44672671221679,2.52492800362477,NA,1.66752878957881,1.00680473941499,0.653125826723177,0.935901088450796,1.20317216364245,1.00680473941499,1.83178082306482,1.00680473941499,0.943775266934865,0,1.21570898241851,NA,0.820179911386343,0.522561801858562,NA,0.879071429214535,1.00680473941499,0.635796496000458,0.773189888233482,2.83302107333668,1.19752516033307,2.30178445231056,2.2350187559983,2.04238755560297,1.04126160410862,0.796139146075637,NA,0.359195969928627,1.11803037452521,0.887110924281364,NA,1.13863364250488,0.945503578368821,0.395895657092014,0.915490091190668,NA,1.25088522792,0.925591444849428,0.923277697083404,1.09512795401006,0.860201265223111,0.815749502652278,0.97438160901886
CA_Lake_JH_PJ31_23,NA,1.90885616297845,1.32963001846639,3.25512917026157,NA,1.70458277565567,0.852803488729138,0.857233897463204,1.32963001846639,1.38332699335998,1.28024750355608,1.24022614971931,1.21570898241851,1.02961941718116,1.21570898241851,0,NA,1.00383737165508,1.7227665977411,NA,1.01143559509572,0.897255251299972,0.972955074527657,1.21570898241851,1.88924580640181,0.916125415291396,1.00383737165508,2.49521629338937,2.23359222150709,0.877644894723332,1.19609862584187,NA,1.06272888948327,1.15508436060207,1.19609862584187,NA,1.38332699335998,1.52910127081375,1.50339105487029,1.17568762858174,NA,1.15440782137234,1.11679611075355,1.60218556933266,1.26571333271145,1.42334834719675,0.992565431104297,1.36811053903445
CA_Lake_JH_PJ31_24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Lake_JH_PJ31_3,NA,0.61538549874033,1.40670535838002,1.79175946922805,NA,1.29103519912082,1.07800902068844,0.92676203174145,1.0583986641118,1.67397643357167,0.915490091190668,1.56861591791385,0.966783385578219,0.952544077267529,0.820179911386343,1.00383737165508,NA,0,1.00383737165508,NA,0.794598312806933,1.20317216364245,1.0583986641118,0.966783385578219,2.79299971949991,1.09687918467987,1.47330573810952,1.85852516554032,2.00236620176621,1.0583986641118,0.633515470146537,NA,1.36514317127455,2.30178445231056,1.94570185911271,NA,0.8754687373539,0.854188930144502,1.02085060684849,0.826678573184468,NA,0.80539876597507,0.562796698749609,1.18863799279782,1.11964512131087,1.02085060684849,1.13863364250488,1.09687918467987
CA_Lake_JH_PJ31_4,NA,0.522561801858562,1.40373799062011,1.86883480914168,NA,1.52226121886171,1.15508436060207,0.547078969159365,0.749811523213447,1.46336970103352,1.15508436060207,2.56198198970163,0.621001874671814,1.13497993283898,0.522561801858562,1.7227665977411,NA,1.00383737165508,0,NA,1.36811053903445,0.656093194483084,0.567489966419492,1.15508436060207,1.48378069829365,0.74907133062823,1.46336970103352,2.0897511852812,1.38629436111989,1.02424836891521,0.749811523213447,NA,0.74907133062823,1.34924037504303,1.26063714697944,NA,0.770222520473574,0.631159677607793,0.432949643168875,1.30921902120626,NA,0.748942713264176,0.674963358474508,1.01439890443054,1.07155731827049,0.852803488729139,0.587100322996133,0.916125415291396
CA_Lake_JH_PJ31_5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Lake_JH_PJ31_6,NA,0.879071429214535,1.00606454682977,3.93009252873608,NA,1.34992671694902,0.792060052224905,0.839050075377767,1.06013176810005,0.794598312806933,0.925591444849428,1.44518587894808,0.674277016568522,0.48080734403355,0.879071429214535,1.01143559509572,NA,0.794598312806933,1.36811053903445,NA,0,0.75123805770465,0.859461072637894,0.674277016568522,2.56420916487632,1.21639532432449,1.03972077083992,2.76471454375571,4.00716786864971,1.46559687620821,0.583207696009736,NA,0.6216882165778,0.879071429214535,0.772449695648265,NA,0.6719959907146,1.07559937747047,0.97438160901886,0.985653549569642,NA,1.1362239992869,0.693147180559945,0.996215082345103,0.708533009893322,0.568916500910695,0.674277016568522,0.462623521948113
CA_Lake_JH_PJ31_7,NA,0.860201265223111,1.04126160410862,2.30178445231056,NA,1.77288930523663,0.860201265223111,0.579017854569455,0.935901088450796,1.02085060684849,0.815749502652278,2.81261007607655,0.619039208406223,0.769421879790088,1.00680473941499,0.897255251299972,NA,1.20317216364245,0.656093194483084,NA,0.75123805770465,0,0.935901088450796,0.906721280858004,3.93163336200479,0.712017344551369,1.20317216364245,2.45816230731251,2.88968541599018,0.935901088450796,0.635796496000458,NA,0.414765821083437,0.693147180559945,0.840590908646471,NA,1.20317216364245,1.40503590774726,0.906721280858004,1.2721650351294,NA,1.18189235643305,0.504377979773124,0.609620138228362,0.923277697083404,0.693147180559945,0.693147180559945,0.674277016568522
CA_Lake_JH_PJ31_8,NA,0.673536823983305,1.13943428318836,1.94570185911271,NA,1.06013176810005,0.753579531656841,0.559407497992815,0.776528789498996,1.32666265070648,1.15904463976501,2.50531764704813,0.530435980342632,1.07831559018548,0.635796496000458,0.972955074527657,NA,1.0583986641118,0.567489966419492,NA,0.859461072637894,0.935901088450796,0,0.796139146075637,1.51412773262978,1.242453324894,1.40670535838002,1.87893616280044,1.6661022550876,1.42711635564015,0.693147180559945,NA,0.954771252442219,1.62904826901074,1.20397280432594,NA,0.847089570444596,0.979960443062456,0.46589745920506,1.94570185911271,NA,1.0371188569024,0.549306144334055,1.07551759743342,1.01489297561699,0.987194382838346,0.564337532018313,0.954771252442219
CA_Lake_JH_PJ31_9,NA,1.24319351747922,1.44672671221679,3.21807518418471,NA,0.97438160901886,1.11803037452521,1.07800902068844,1.53373808920642,0.866699927021236,0.860201265223111,1.60863727175061,0.693147180559945,0.810243874310343,0.773189888233482,1.21570898241851,NA,0.966783385578219,1.15508436060207,NA,0.674277016568522,0.906721280858004,0.796139146075637,0,2.5453390008849,1.07974212467669,1.2721650351294,2.2350187559983,2.19653823543023,1.36668400454325,1.15904463976501,NA,1.07974212467669,0.732367893713227,0.840590908646471,NA,1.02085060684849,1.11735383529548,0.906721280858004,1.20317216364245,NA,1.69271798019904,0.879071429214535,1.09512795401006,1.03450333219363,1.38629436111989,0.955511445027436,1.13690053851663
CA_Lake_JH_PJ32_1,NA,2.32219544957069,2.52572864430826,1.00124025027185,NA,2.56420916487632,1.98572321294947,2.28217409573392,3.2188758248682,3.19846482760807,NA,1.11902328592824,2.83302107333668,NA,2.83302107333668,1.88924580640181,NA,2.79299971949991,1.48378069829365,NA,2.56420916487632,3.93163336200479,1.51412773262978,2.5453390008849,0,2.15874405676816,2.09985253893996,0.991632967799541,0.833193132152498,1.83258146374831,2.81341071676004,NA,NA,3.93163336200479,3.2188758248682,NA,2.09985253893996,2.26089428852452,2.32219544957069,3.19846482760807,NA,2.48403783983873,2.8518912373281,2.46181195855331,2.2386684072391,3.23848618144484,2.83302107333668,2.8518912373281
CA_Lake_JH_PJ32_10,NA,1.07974212467669,1.87106198431637,3.23694534817614,NA,1.42403468910274,1.33105655295759,0.752038698388137,1.46559687620821,1.44518587894808,1.40516452511131,1.85065098705625,0.879071429214535,1.01143559509572,1.19752516033307,0.916125415291396,NA,1.09687918467987,0.74907133062823,NA,1.21639532432449,0.712017344551369,1.242453324894,1.07974212467669,2.15874405676816,0,1.03972077083992,3.17017965186388,2.21540839942166,0.859461072637894,1.31144619638095,NA,1.09861228866811,1.19752516033307,1.31144619638095,NA,1.53219725593771,1.96290257247137,1.26206368147064,1.1575038064963,NA,1.1362239992869,1.15577070250806,1.40168019045327,1.80714529856143,1.19752516033307,0.97438160901886,1.50407739677627
