,CA_Te_JH_PJ49_1,CA_Te_JH_PJ49_10,CA_Te_JH_PJ49_11,CA_Te_JH_PJ49_12,CA_Te_JH_PJ49_13,CA_Te_JH_PJ49_14,CA_Te_JH_PJ49_15,CA_Te_JH_PJ49_16,CA_Te_JH_PJ49_17,CA_Te_JH_PJ49_18,CA_Te_JH_PJ49_19,CA_Te_JH_PJ49_2,CA_Te_JH_PJ49_20,CA_Te_JH_PJ49_21,CA_Te_JH_PJ49_22,CA_Te_JH_PJ49_23,CA_Te_JH_PJ49_24,CA_Te_JH_PJ49_3,CA_Te_JH_PJ49_4,CA_Te_JH_PJ49_5,CA_Te_JH_PJ49_6,CA_Te_JH_PJ49_7,CA_Te_JH_PJ49_8,CA_Te_JH_PJ49_9,CA_Te_JH_PJ50_1,CA_Te_JH_PJ50_10,CA_Te_JH_PJ50_11,CA_Te_JH_PJ50_12,CA_Te_JH_PJ50_13,CA_Te_JH_PJ50_14,CA_Te_JH_PJ50_15,CA_Te_JH_PJ50_16,CA_Te_JH_PJ50_17,CA_Te_JH_PJ50_18,CA_Te_JH_PJ50_19,CA_Te_JH_PJ50_2,CA_Te_JH_PJ50_20,CA_Te_JH_PJ50_21,CA_Te_JH_PJ50_22,CA_Te_JH_PJ50_23,CA_Te_JH_PJ50_24,CA_Te_JH_PJ50_3,CA_Te_JH_PJ50_4,CA_Te_JH_PJ50_5,CA_Te_JH_PJ50_6,CA_Te_JH_PJ50_7,CA_Te_JH_PJ50_8,CA_Te_JH_PJ50_9
CA_Te_JH_PJ49_8,NA,0.834619666643701,1.53219725593771,NA,2.1783544133448,1.75327894865999,0.689936896658484,0.731627701128009,1.85065098705625,0.913080447972694,0.894492771172665,1.51091744872831,0.654666659991881,1.02567490340641,0.74907133062823,1.02567490340641,2.34106561356211,1.20076252042447,0.954771252442219,NA,0.853489830635125,0.567489966419492,0,1.00606454682977,1.46559687620821,0.817770268168369,1.06013176810005,NA,NA,NA,1.62750743574204,0.815009310067061,NA,NA,NA,1.09861228866811,NA,NA,1.09687918467987,NA,NA,1.00571840628289,0.731627701128009,1.26206368147064,0.712017344551369,1.11729018193999,0.628490302219786,0.792060052224905
CA_Te_JH_PJ49_9,NA,0.712757537136586,0.895879734614027,NA,1.73440878466857,0.776528789498996,0.612235662937138,1.27296567581289,0.672736183299818,0.692278370610675,0.334715326971315,1.16228199985641,0.776528789498996,0.46589745920506,0.749811523213447,1.09842001794857,1.83258146374831,1.23127487134336,0.579818495252942,NA,1.00606454682977,0.566749773834275,1.00606454682977,0,1.51412773262978,0.979960443062456,0.916290731874155,NA,NA,NA,1.32666265070648,0.579818495252942,NA,NA,NA,1.00606454682977,NA,NA,0.847089570444596,NA,NA,1.16139390015578,0.776528789498996,1.22358316090258,0.796139146075637,0.653926467406664,0.957734561777039,0.635796496000458
CA_Te_JH_PJ50_1,NA,2.32219544957069,1.40670535838002,NA,0.635796496000458,1.34707364796661,1.30538284349708,2.81341071676004,1.32666265070648,1.23127487134336,1.60322665243482,1.38542555117062,2.12026353620009,1.09842001794857,3.2755401675217,1.15904463976501,0.776528789498996,1.16228199985641,1.6094379124341,NA,1.17791480375643,1.25989695439422,1.46559687620821,1.51412773262978,0,1.30538284349708,1.42711635564015,NA,NA,NA,1.18356180706581,1.27296567581289,NA,NA,NA,1.06013176810005,NA,NA,1.81217046648818,NA,NA,1.40255595697267,1.83258146374831,1.73440878466857,1.85219182032495,2.12026353620009,2.05634685044515,1.44672671221679
CA_Te_JH_PJ50_10,NA,1.18189235643305,0.80539876597507,NA,3.88994255753526,0.825809763235198,0.995428052432879,1.38542555117062,1.21086387408323,1.12059119538689,0.9255470812453,1.18958406687384,0.92589322179218,1.11735383529548,0.791502327682972,0.845420119811838,3.17718502039868,1.05605267424931,0.979960443062456,NA,1.71158814419047,0.838716528219791,0.817770268168369,0.979960443062456,1.30538284349708,0,0.779289747600305,NA,NA,NA,1.07733248145871,1.0371188569024,NA,NA,NA,0.864290283803262,NA,NA,0.758878750340177,NA,NA,1.8128502762462,0.825809763235198,1.25088522792,0.393434996068781,1.09774347871884,1.24146615774214,1.58735746454122
CA_Te_JH_PJ50_11,NA,0.599428851829583,0.457624803682872,NA,1.62904826901074,0.867500567704723,0.825809763235198,1.6094379124341,1.0583986641118,1.56774710796457,0.856012250604601,0.65145637609042,1.42711635564015,0.935901088450796,0.749811523213447,0.599428851829583,1.71479842809193,1.23127487134336,0.867500567704723,NA,1.55260825319784,0.829114038301766,1.06013176810005,0.916290731874155,1.42711635564015,0.779289747600305,0,NA,NA,NA,0.847089570444596,0.916290731874155,NA,NA,NA,0.618299015821006,NA,NA,0.595775142163689,NA,NA,1.02786250753126,0.967584026261706,1.85219182032495,1.44672671221679,1.27296567581289,1.20904899005795,1.15904463976501
CA_Te_JH_PJ50_12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Te_JH_PJ50_13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Te_JH_PJ50_14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Te_JH_PJ50_15,NA,0.915490091190668,0.92676203174145,NA,1.60863727175061,1.0583986641118,1.01670785964228,2.09985253893996,0.980829253011726,1.07733248145871,1.00745151027113,1.01670785964228,1.81217046648818,0.966783385578219,1.64569125782747,0.966783385578219,1.6943874308318,0.905482224532052,1.11902328592824,NA,1.22204232763387,1.03184659235585,1.62750743574204,1.32666265070648,1.18356180706581,1.07733248145871,0.847089570444596,NA,NA,NA,0,1.49371673536965,NA,NA,NA,1.09687918467987,NA,NA,0.735706794978741,NA,NA,0.644546016581764,1.11902328592824,1.02085060684849,1.96531221568935,1.18356180706581,0.99448197835686,1.02085060684849
CA_Te_JH_PJ50_16,NA,0.840590908646471,1.11902328592824,NA,1.53373808920642,1.20397280432594,0.65145637609042,0.967584026261706,1.00124025027185,0.92589322179218,0.967237885714825,1.0371188569024,0.967584026261706,0.49764615751964,0.924164910358225,1.29257603238953,2.12026353620009,1.47243692816025,0.653926467406664,NA,0.859461072637894,0.492641801680553,0.815009310067061,0.579818495252942,1.27296567581289,1.0371188569024,0.916290731874155,NA,NA,NA,1.49371673536965,0,NA,NA,NA,0.859461072637894,NA,NA,0.524316178181544,NA,NA,1.2355018723095,0.579818495252942,1.04126160410862,0.712757537136586,0.967584026261706,0.957734561777039,0.796139146075637
CA_Te_JH_PJ50_17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Te_JH_PJ50_18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Te_JH_PJ50_19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Te_JH_PJ50_2,NA,0.792060052224905,0.934360255182092,NA,1.66752878957881,0.692406987974728,0.730758891178739,1.00606454682977,1.73286795139986,1.26975539191143,1.35402510055111,0.689936896658484,1.242453324894,1.33105655295759,1.23457914640993,0.792060052224905,2.15874405676816,0.913080447972694,1.38555416853467,NA,1.42403468910274,0.685273002075876,1.09861228866811,1.00606454682977,1.06013176810005,0.864290283803262,0.618299015821006,NA,NA,NA,1.09687918467987,0.859461072637894,NA,NA,NA,0,NA,NA,1.03972077083992,NA,NA,1.00571840628289,1.17791480375643,1.77288930523663,1.19752516033307,2.15874405676816,1.40168019045327,0.925591444849428
