,CA_Sol_Jmo_PJ25_1,CA_Sol_Jmo_PJ25_10,CA_Sol_Jmo_PJ25_11,CA_Sol_Jmo_PJ25_12,CA_Sol_Jmo_PJ25_13,CA_Sol_Jmo_PJ25_14,CA_Sol_Jmo_PJ25_15,CA_Sol_Jmo_PJ25_16,CA_Sol_Jmo_PJ25_17,CA_Sol_Jmo_PJ25_18,CA_Sol_Jmo_PJ25_19,CA_Sol_Jmo_PJ25_2,CA_Sol_Jmo_PJ25_21,CA_Sol_Jmo_PJ25_22,CA_Sol_Jmo_PJ25_23,CA_Sol_Jmo_PJ25_3,CA_Sol_Jmo_PJ25_4,CA_Sol_Jmo_PJ25_5,CA_Sol_Jmo_PJ25_6,CA_Sol_Jmo_PJ25_7,CA_Sol_Jmo_PJ25_8,CA_Sol_Jmo_PJ25_9,CA_Sol_Jmo_PJ26_1,CA_Sol_Jmo_PJ26_10,CA_Sol_Jmo_PJ26_11,CA_Sol_Jmo_PJ26_12,CA_Sol_Jmo_PJ26_13,CA_Sol_Jmo_PJ26_14,CA_Sol_Jmo_PJ26_15,CA_Sol_Jmo_PJ26_16,CA_Sol_Jmo_PJ26_17,CA_Sol_Jmo_PJ26_18,CA_Sol_Jmo_PJ26_19,CA_Sol_Jmo_PJ26_2,CA_Sol_Jmo_PJ26_20,CA_Sol_Jmo_PJ26_21,CA_Sol_Jmo_PJ26_22,CA_Sol_Jmo_PJ26_23,CA_Sol_Jmo_PJ26_24,CA_Sol_Jmo_PJ26_3,CA_Sol_Jmo_PJ26_4,CA_Sol_Jmo_PJ26_5,CA_Sol_Jmo_PJ26_6,CA_Sol_Jmo_PJ26_7,CA_Sol_Jmo_PJ26_8,CA_Sol_Jmo_PJ26_9
CA_Sol_Jmo_PJ25_19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Sol_Jmo_PJ25_2,0.568916500910695,1.02567490340641,0.906721280858004,0.405272837388625,0.754448341606111,0.587100322996133,1.38629436111989,0.796139146075637,2.58381952145296,NA,NA,0,NA,0.583947888594953,NA,0.602818052586377,1.38629436111989,1.22358316090258,1.92640182288409,NA,1.20317216364245,0.955511445027436,0.692460838653959,NA,NA,NA,1.69271798019904,2.5453390008849,NA,NA,1.55334844578306,NA,1.66752878957881,1.25088522792,1.13863364250488,NA,0.987194382838346,NA,NA,1.02567490340641,1.25088522792,NA,NA,NA,1.53373808920642,NA
CA_Sol_Jmo_PJ25_21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Sol_Jmo_PJ25_22,0.97438160901886,1.19752516033307,0.955511445027436,0.635796496000458,0.845420119811838,0.992565431104297,1.38629436111989,1.04126160410862,1.66752878957881,NA,NA,0.583947888594953,NA,0,NA,0.712017344551369,1.17865499634165,1.62904826901074,1.70325827156988,NA,0.775728148815509,1.11803037452521,1.09792594676212,NA,NA,NA,1.25088522792,3.23848618144484,NA,NA,1.46633706879343,NA,1.48520723278485,1.05672921347905,0.653125826723177,NA,1.36668400454325,NA,NA,1.07974212467669,0.945503578368821,NA,NA,NA,2.32219544957069,NA
CA_Sol_Jmo_PJ25_23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA_Sol_Jmo_PJ25_3,1.04454506739783,1.50407739677627,0.792060052224905,0.516516321511064,0.689936896658484,0.829114038301766,1.19752516033307,0.954771252442219,1.68639895357023,NA,NA,0.602818052586377,NA,0.712017344551369,NA,0,1.57221860977448,1.75327894865999,2.23295405932729,NA,1.53219725593771,0.75123805770465,0.916125415291396,NA,NA,NA,1.60622762853264,3.25735634543627,NA,NA,2.58381952145296,NA,1.50407739677627,0.773318505597535,0.985653549569642,NA,1.75327894865999,NA,NA,2.19722457733622,1.60622762853264,NA,NA,NA,1.38555416853467,NA
CA_Sol_Jmo_PJ25_4,0.97438160901886,1.33105655295759,1.24319351747922,1.09842001794857,0.945503578368821,3.29515052409834,1.17865499634165,1.29257603238953,1.66752878957881,NA,NA,1.38629436111989,NA,1.17865499634165,NA,1.57221860977448,0,1.29257603238953,2.39640545212982,NA,1.13863364250488,0.860201265223111,1.09792594676212,NA,NA,NA,1.81050101585543,1.85219182032495,NA,NA,2.56494935746154,NA,1.02567490340641,1.58735746454122,0.866699927021236,NA,1.36668400454325,NA,NA,1.66752878957881,1.40503590774726,NA,NA,NA,1.44672671221679,NA
CA_Sol_Jmo_PJ25_5,0.549306144334055,1.17791480375643,0.987194382838346,1.02165124753198,1.79089065927878,1.6661022550876,1.29257603238953,1.13943428318836,0.859461072637894,NA,NA,1.22358316090258,NA,1.62904826901074,NA,1.75327894865999,1.29257603238953,0,2.37679509555318,NA,1.00124025027185,0.753579531656841,0.710590810060166,NA,NA,NA,0.92589322179218,0.7339691750802,NA,NA,0.887110924281364,NA,1.17791480375643,1.0371188569024,1.32666265070648,NA,0.967584026261706,NA,NA,0.549306144334055,0.87459992740463,NA,NA,NA,0.579818495252942,NA
CA_Sol_Jmo_PJ25_6,2.41527561612125,2.63841916743546,1.36678603494866,2.19447353875923,1.99863205446244,1.96345580896095,NA,2.37679509555318,1.94527198687551,NA,NA,1.92640182288409,NA,1.70325827156988,NA,2.23295405932729,2.39640545212982,2.37679509555318,0,NA,1.66323691773311,2.05993321550861,2.25113788141273,NA,NA,NA,2.55824784239787,2.19447353875923,NA,NA,1.70325827156988,NA,3.3315663479954,1.86510066183792,2.1740625414991,NA,1.78900843065106,NA,NA,2.63841916743546,2.55824784239787,NA,NA,NA,2.88762071931917,NA
CA_Sol_Jmo_PJ25_7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
