,CA_Sol_JC_PJ77_1,CA_Sol_JC_PJ77_10,CA_Sol_JC_PJ77_11,CA_Sol_JC_PJ77_12,CA_Sol_JC_PJ77_2,CA_Sol_JC_PJ77_3,CA_Sol_JC_PJ77_4,CA_Sol_JC_PJ77_5,CA_Sol_JC_PJ77_6,CA_Sol_JC_PJ77_7,CA_Sol_JC_PJ77_8,CA_Sol_JC_PJ77_9,CA_Sol_JC_PJ78_1,CA_Sol_JC_PJ78_10,CA_Sol_JC_PJ78_11,CA_Sol_JC_PJ78_12,CA_Sol_JC_PJ78_2,CA_Sol_JC_PJ78_3,CA_Sol_JC_PJ78_4,CA_Sol_JC_PJ78_5,CA_Sol_JC_PJ78_6,CA_Sol_JC_PJ78_7,CA_Sol_JC_PJ78_8,CA_Sol_JC_PJ78_9
CA_Sol_JC_PJ77_8,1.15904463976501,1.22358316090258,1.07831559018548,1.15904463976501,2.56420916487632,2.35924943564755,NA,2.21142431459707,0.954771252442219,1.00124025027185,0,0.859461072637894,0.753579531656841,1.2136442857475,0.559407497992815,0.935901088450796,1.71479842809193,2.32219544957069,2.50531764704813,1.6943874308318,1.25255467855276,1.07831559018548,1.2355018723095,0.800569554809702
CA_Sol_JC_PJ77_9,1.48520723278485,0.792060052224905,0.916125415291396,1.33105655295759,1.5910887737659,2.21540839942166,NA,1.0459320308392,1.21639532432449,1.03972077083992,0.859461072637894,0,0.75123805770465,0.846659698207401,0.839050075377767,1.66752878957881,1.31144619638095,1.48520723278485,2.54379816761619,1.03972077083992,1.73286795139986,1.23457914640993,1.53634665734506,0.88557009101266
CA_Sol_JC_PJ78_1,0.860201265223111,1.11803037452521,0.656093194483084,0.619039208406223,2.36067597013875,2.19653823543023,NA,1.72020904740772,1.19752516033307,1.13863364250488,0.753579531656841,0.75123805770465,0,1.01011109100993,0.61538549874033,1.17865499634165,2.13987389277673,1.75401914124521,1.96531221568935,1.42631571495666,1.42631571495666,1.09792594676212,0.929689828451517,0.820179911386343
CA_Sol_JC_PJ78_10,1.01011109100993,0.673638854388719,1.04716507708679,1.11547160666776,2.63841916743546,2.25113788141273,NA,1.08166151283027,1.53980687876735,1.3267646811119,1.2136442857475,0.846659698207401,1.01011109100993,0,0.874779557368839,1.11547160666776,1.2136442857475,1.70325827156988,2.57952764960726,1.88638046904732,1.3267646811119,1.270308628401,1.23560390271492,0.633617500551951
CA_Sol_JC_PJ78_11,1.13863364250488,1.42631571495666,1.00383737165508,0.820179911386343,2.13833305950803,2.15651688159347,NA,1.34371545694974,0.985653549569642,0.693147180559945,0.559407497992815,0.839050075377767,0.61538549874033,0.874779557368839,0,0.820179911386343,2.28217409573392,1.96531221568935,2.07944154167984,1.67397643357167,1.30625165344635,0.690179812800038,1.0719900314087,0.693147180559945
CA_Sol_JC_PJ78_12,0.955511445027436,1.64865862558738,1.42334834719675,1.00680473941499,3.27696670201291,1.68571261166424,NA,1.94335259872193,0.75123805770465,1.13863364250488,0.935901088450796,1.66752878957881,1.17865499634165,1.11547160666776,0.820179911386343,0,1.62904826901074,2.85263142991332,3.91122236474466,1.60863727175061,0.733168534396713,0.404778766202178,1.0474728641079,0.692346539876458
CA_Sol_JC_PJ78_2,1.04126160410862,0.987194382838346,1.88924580640181,1.85219182032495,1.75327894865999,1.88924580640181,NA,1.36412645420986,1.46559687620821,1.6943874308318,1.71479842809193,1.31144619638095,2.13987389277673,1.2136442857475,2.28217409573392,1.62904826901074,0,2.5453390008849,2.28217409573392,0.847089570444596,1.18356180706581,2.17692787885359,1.497866136777,1.32666265070648
CA_Sol_JC_PJ78_3,2.00533356952611,3.25809653802148,1.59040243185992,2.15948424935337,1.77288930523663,0.943775266934865,NA,1.53788749061376,2.1783544133448,1.71399778740844,2.32219544957069,1.48520723278485,1.75401914124521,1.70325827156988,1.96531221568935,2.85263142991332,2.5453390008849,0,1.42631571495666,2.30178445231056,2.30178445231056,3.29515052409834,2.43376722522779,2.1194628955166
CA_Sol_JC_PJ78_4,2.30178445231056,NA,1.7510517734853,2.30178445231056,1.44518587894808,1.86883480914168,NA,1.90333124488516,NA,1.47330573810952,2.50531764704813,2.54379816761619,1.96531221568935,2.57952764960726,2.07944154167984,3.91122236474466,2.28217409573392,1.42631571495666,0,2.484906649788,2.484906649788,3.25512917026157,3.08689305195097,1.92529086185258
CA_Sol_JC_PJ78_5,1.71399778740844,0.866699927021236,1.64569125782747,1.2721650351294,0.934360255182092,2.56198198970163,NA,1.21018406432521,1.22204232763387,2.07944154167984,1.6943874308318,1.03972077083992,1.42631571495666,1.88638046904732,1.67397643357167,1.60863727175061,0.847089570444596,2.30178445231056,2.484906649788,0,1.30625165344635,1.46336970103352,1.29513358272291,1.30625165344635
