,NM_Soc_JMa_PJ23_1,NM_Soc_JMa_PJ23_10,NM_Soc_JMa_PJ23_11,NM_Soc_JMa_PJ23_12,NM_Soc_JMa_PJ23_13,NM_Soc_JMa_PJ23_14,NM_Soc_JMa_PJ23_15,NM_Soc_JMa_PJ23_16,NM_Soc_JMa_PJ23_17,NM_Soc_JMa_PJ23_18,NM_Soc_JMa_PJ23_19,NM_Soc_JMa_PJ23_2,NM_Soc_JMa_PJ23_20,NM_Soc_JMa_PJ23_21,NM_Soc_JMa_PJ23_22,NM_Soc_JMa_PJ23_23,NM_Soc_JMa_PJ23_24,NM_Soc_JMa_PJ23_3,NM_Soc_JMa_PJ23_4,NM_Soc_JMa_PJ23_5,NM_Soc_JMa_PJ23_6,NM_Soc_JMa_PJ23_7,NM_Soc_JMa_PJ23_8,NM_Soc_JMa_PJ23_9,NM_Soc_JMa_PJ24_1,NM_Soc_JMa_PJ24_10,NM_Soc_JMa_PJ24_11,NM_Soc_JMa_PJ24_12,NM_Soc_JMa_PJ24_13,NM_Soc_JMa_PJ24_14,NM_Soc_JMa_PJ24_15,NM_Soc_JMa_PJ24_16,NM_Soc_JMa_PJ24_17,NM_Soc_JMa_PJ24_18,NM_Soc_JMa_PJ24_19,NM_Soc_JMa_PJ24_2,NM_Soc_JMa_PJ24_20,NM_Soc_JMa_PJ24_21,NM_Soc_JMa_PJ24_22,NM_Soc_JMa_PJ24_23,NM_Soc_JMa_PJ24_24,NM_Soc_JMa_PJ24_3,NM_Soc_JMa_PJ24_4,NM_Soc_JMa_PJ24_5,NM_Soc_JMa_PJ24_6,NM_Soc_JMa_PJ24_7,NM_Soc_JMa_PJ24_8,NM_Soc_JMa_PJ24_9
NM_Soc_JMa_PJ23_19,2.04307389750896,1.7221284355613,1.90954250488444,1.66752878957881,3.27696670201291,2.62087350752982,1.79175946922805,2.23295405932729,1.73907921139914,0.387127368828961,0,1.90954250488444,1.57221860977448,1.94527198687551,3.25735634543627,1.94527198687551,1.66752878957881,2.0612577195944,1.92772632696988,1.60927259585134,NA,0.37806613392005,1.70458277565567,1.92772632696988,1.89067234089301,2.34106561356211,3.31402068808977,1.77288930523663,3.29583686600433,2.60268968544438,2.02420373351754,2.1783544133448,1.52226121886171,0.693147180559945,0.6216882165778,1.66752878957881,1.53980687876735,2.63841916743546,1.64791843300216,2.62087350752982,2.60268968544438,3.98898404656427,2.0612577195944,1.60927259585134,0.492476485097794,0.504377979773124,3.27696670201291,1.96222276271335
NM_Soc_JMa_PJ23_2,0.325422400434628,0.287043910271979,0.433635985074861,0.602818052586377,0.306552236443205,0.48080734403355,0.6216882165778,0.55897762575562,0.783567766371706,1.53980687876735,1.90954250488444,0,1.07974212467669,0.387127368828961,0.236931459291903,0.623516146893191,0.568916500910695,0.48080734403355,0.573180664164566,1.60927259585134,NA,1.50407739677627,1.36811053903445,0.369581708923326,0.473606321106371,0.45399596452973,0.605970486987556,0.332527722846465,0.523248143764548,0.554996842079128,0.568916500910695,0.504377979773124,0.829114038301766,2.60268968544438,1.50407739677627,0.674277016568522,0.980191090831924,0.692509018380143,0.692406987974728,0.674963358474508,0.770108221696074,0.554996842079128,0.369581708923326,1.44221851118818,2.37954613413017,1.66752878957881,0.879071429214535,0.515303779777026
NM_Soc_JMa_PJ23_20,1.19752516033307,1.01011109100993,1.02567490340641,1.06087196068526,1.00680473941499,1.09792594676212,1.02567490340641,0.827789534215978,0.844740310053818,1.92640182288409,1.57221860977448,1.07974212467669,0,1.06140438539748,1.15904463976501,1.01011109100993,0.619039208406223,1.04385872549185,0.897255251299972,0.943775266934865,NA,1.89067234089301,0.897255251299972,1.09792594676212,1.06087196068526,0.753579531656841,1.15508436060207,1.06087196068526,0.97438160901886,1.02567490340641,0.860201265223111,0.655406852577098,0.587100322996133,1.89067234089301,1.40516452511131,1.17865499634165,0.177201968074828,1.11547160666776,0.887110924281364,0.522561801858562,1.19752516033307,1.07974212467669,0.692460838653959,0.656093194483084,2.1783544133448,1.87180217690159,0.550046336919272,1.02706186684777
NM_Soc_JMa_PJ23_21,0.335834074441411,0.476924072090309,0.441194590099237,0.914800911205607,0.479482839947762,0.641699968978629,0.311141461851039,0.969400557188104,0.899339956036314,1.57553636075842,1.94527198687551,0.387127368828961,1.06140438539748,0,0.585035626325127,0.534082485930258,0.422324426107813,0.405311190914398,0.864843520292839,1.40384002102553,NA,1.45976417109381,1.47794799317925,0.405311190914398,0.747746826542441,0.402714069531173,0.784800812619302,0.604645982901768,0.623516146893192,0.846659698207401,0.422324426107813,0.786967539695723,1.270308628401,3.3315663479954,1.19150018449913,1.11547160666776,1.2272296664902,0.534082485930258,0.520497105187556,0.71069284046558,0.498353003939186,0.692509018380143,0.546389789174304,2.65660298952089,2.23295405932729,1.36678603494866,1.36678603494866,0.248752389895165
NM_Soc_JMa_PJ23_22,0.395155464506797,0.375315095343058,0.45399596452973,0.673536823983305,0.170433246311224,0.442326823465486,0.654666659991881,0.728136469965801,1.11281202592896,2.19447353875923,3.25735634543627,0.236931459291903,1.15904463976501,0.585035626325127,0,0.654028497812079,0.673536823983305,0.636482837906444,0.833193132152498,2.02277719902633,NA,2.0045933769409,1.07831559018548,0.710590810060166,0.405272837388625,0.693147180559945,0.790633517733702,0.599428851829583,0.618299015821006,0.516516321511064,0.935901088450796,0.49764615751964,1.07831559018548,3.25735634543627,1.87106198431637,0.987194382838346,1.04179402882084,0.728136469965801,0.82098055206983,0.972955074527657,0.73162770112801,0.395155464506797,0.567489966419492,1.57079207528328,3.95050352599621,1.98572321294947,1.04126160410862,0.825129953477178
NM_Soc_JMa_PJ23_23,0.287043910271979,0.594707107746693,0.112690523127201,0.540107461764197,0.673638854388719,0.459378412184674,0.311141461851039,0.882389180198474,0.819297248362778,2.67414864942653,1.94527198687551,0.623516146893191,1.01011109100993,0.534082485930258,0.654028497812079,0,0.479482839947762,0.516536826024623,0.951854897282468,1.270308628401,NA,2.63841916743546,1.55799070085278,0.379335704511138,0.604645982901768,0.520497105187556,0.577161447841058,0.604645982901768,0.846659698207401,0.55897762575562,1.01011109100993,0.509335803097443,1.15252559274462,1.94527198687551,1.53980687876735,0.914800911205607,1.17007125265025,0.563935449079939,0.654028497812079,0.67560152065431,0.623516146893192,0.498353003939186,0.71069284046558,1.270308628401,1.94527198687551,1.92640182288409,1.36678603494866,0.551033261768099
NM_Soc_JMa_PJ23_24,0.536126678087705,0.747746826542441,0.414765821083437,0.583947888594953,0.550046336919272,0.587100322996133,0.306552236443205,0.747746826542441,0.69058963022656,1.92640182288409,1.66752878957881,0.568916500910695,0.619039208406223,0.422324426107813,0.673536823983305,0.479482839947762,0,0.554310500173142,0.897255251299972,1.15508436060207,NA,1.89067234089301,1.15508436060207,0.554310500173142,0.860201265223111,0.376285300515373,0.810243874310343,0.550046336919272,0.386594944116741,0.792060052224905,0.550046336919272,0.619039208406223,0.992565431104297,3.27696670201291,1.57221860977448,0.732367893713227,0.786967539695723,0.571856160078777,0.46589745920506,0.491790143191808,0.504377979773124,0.834619666643701,0.656093194483084,1.15508436060207,2.02420373351754,1.64865862558738,1.31218638896617,0.439275201945654
NM_Soc_JMa_PJ23_3,0.293595801945404,0.459378412184674,0.369581708923326,0.621001874671814,0.432949643168875,0.624154309072994,0.541431965849985,0.516536826024623,0.533487601862464,2.25113788141273,2.0612577195944,0.48080734403355,1.04385872549185,0.405311190914398,0.636482837906444,0.516536826024623,0.554310500173142,0,0.470003629245736,0.693147180559945,NA,1.92772632696988,0.767255152713667,0.498991166118988,0.656093194483084,0.636482837906444,0.658055860748675,0.587100322996133,0.788292043781511,0.639872038663238,0.554310500173142,0.730201166636806,0.72951482473082,NA,1.44221851118818,0.730201166636806,1.15252559274462,0.864843520292839,0.534700143596501,1.08091271156871,0.605970486987557,0.369581708923326,0.658055860748675,1.13497993283898,2.21540839942166,1.79107312732207,0.769421879790088,0.533487601862464
NM_Soc_JMa_PJ23_4,0.674963358474508,0.516536826024623,0.788292043781511,0.852803488729139,0.621001874671814,0.767255152713667,0.916125415291396,0.784800812619302,0.801751588457143,2.25113788141273,1.92772632696988,0.573180664164566,0.897255251299972,0.864843520292839,0.833193132152498,0.951854897282468,0.897255251299972,0.470003629245736,0,1.19213834667893,NA,1.92772632696988,1.25276296849537,0.693147180559945,0.852803488729139,0.601391518095174,0.980829253011726,0.730201166636806,0.829114038301766,0.639872038663238,0.587100322996133,0.587100322996133,0.934309237376833,3.31402068808977,1.92772632696988,0.992565431104297,1.04716507708679,1.15252559274462,0.672850482077318,0.767255152713667,1.01143559509572,0.74907133062823,0.889857474806,1.02961941718116,2.62087350752982,2.6020033435384,0.810243874310343,0.881794296130679
NM_Soc_JMa_PJ23_5,1.23457914640993,1.55799070085278,1.1739545245935,1.15508436060207,1.79107312732207,1.54044504094715,1.52226121886171,0.784800812619302,0.533487601862464,2.25113788141273,1.60927259585134,1.60927259585134,0.943775266934865,1.40384002102553,2.02277719902633,1.270308628401,1.15508436060207,0.693147180559945,1.19213834667893,0,NA,1.92772632696988,0.591364486250003,1.54044504094715,1.59040243185992,1.88924580640181,1.46040233327361,1.28024750355608,2.21540839942166,1.92772632696988,1.59040243185992,1.28024750355608,0.470003629245736,1.92772632696988,0.916125415291396,1.28024750355608,0.864843520292839,1.96345580896095,1.32963001846639,2.41591377830105,1.70458277565567,1.44221851118818,1.19213834667893,0.470003629245736,1.92772632696988,1.15508436060207,1.04385872549185,1.16947636858246
