,CA_Sol_Jai_PJ33_1,CA_Sol_Jai_PJ33_10,CA_Sol_Jai_PJ33_11,CA_Sol_Jai_PJ33_12,CA_Sol_Jai_PJ33_13,CA_Sol_Jai_PJ33_14,CA_Sol_Jai_PJ33_15,CA_Sol_Jai_PJ33_16,CA_Sol_Jai_PJ33_17,CA_Sol_Jai_PJ33_18,CA_Sol_Jai_PJ33_19,CA_Sol_Jai_PJ33_2,CA_Sol_Jai_PJ33_20,CA_Sol_Jai_PJ33_21,CA_Sol_Jai_PJ33_22,CA_Sol_Jai_PJ33_23,CA_Sol_Jai_PJ33_24,CA_Sol_Jai_PJ33_3,CA_Sol_Jai_PJ33_4,CA_Sol_Jai_PJ33_5,CA_Sol_Jai_PJ33_6,CA_Sol_Jai_PJ33_7,CA_Sol_Jai_PJ33_8,CA_Sol_Jai_PJ33_9,CA_Sol_Jai_PJ34_1,CA_Sol_Jai_PJ34_10,CA_Sol_Jai_PJ34_11,CA_Sol_Jai_PJ34_12,CA_Sol_Jai_PJ34_13,CA_Sol_Jai_PJ34_14,CA_Sol_Jai_PJ34_15,CA_Sol_Jai_PJ34_16,CA_Sol_Jai_PJ34_17,CA_Sol_Jai_PJ34_18,CA_Sol_Jai_PJ34_19,CA_Sol_Jai_PJ34_2,CA_Sol_Jai_PJ34_20,CA_Sol_Jai_PJ34_21,CA_Sol_Jai_PJ34_22,CA_Sol_Jai_PJ34_23,CA_Sol_Jai_PJ34_24,CA_Sol_Jai_PJ34_3,CA_Sol_Jai_PJ34_4,CA_Sol_Jai_PJ34_5,CA_Sol_Jai_PJ34_6,CA_Sol_Jai_PJ34_7,CA_Sol_Jai_PJ34_8,CA_Sol_Jai_PJ34_9
CA_Sol_Jai_PJ33_6,NA,1.08452685018476,1.51747649335364,NA,NA,2.19101331733694,NA,1.0474728641079,1.74062004466785,1.11201138524547,NA,NA,0.930222253163738,0.822902778302488,0.894492771172665,1.11201138524547,NA,0.740802270462108,NA,1.16139390015578,0,0.664957013841892,0.775539148624259,0.763028151747525,1.19381106783998,1.497866136777,1.5615358479653,2.21062367391358,1.30971187486864,2.08290176310212,1.51604995886243,1.65989099508832,2.70183894110293,1.25511222888614,1.58281565517469,2.41415686865115,1.58281565517469,3.78004023251091,1.98828076328286,1.497866136777,1.21805824280928,1.85454108071573,1.62283700901146,2.43376722522779,2.70183894110293,1.58902691517397,1.33515493655968,1.72100968809121
CA_Sol_Jai_PJ33_7,NA,0.331101188355262,1.29257603238953,NA,NA,1.20397280432594,NA,0.673536823983305,1.04126160410862,0.935901088450796,NA,NA,0.585035626325128,0.689352095926608,1.11729018193999,1.15904463976501,NA,0.515901809498,NA,0.867500567704723,0.664957013841892,0,0.530435980342632,0.574495334954291,1.6731076236224,2.52572864430826,1.56774710796457,1.73440878466857,2.19447353875923,2.19447353875923,2.43855195073587,2.58239298696176,1.71479842809193,2.5453390008849,2.50531764704813,2.81341071676004,1.11902328592824,2.28217409573392,1.94570185911271,1.6094379124341,1.6661022550876,3.2188758248682,1.98572321294947,1.98572321294947,1.71479842809193,1.51827713403712,1.22358316090258,2.52572864430826
CA_Sol_Jai_PJ33_8,NA,0.852803488729138,1.06087196068526,NA,NA,1.29257603238953,NA,1.11803037452521,0.906721280858004,0.655406852577098,NA,NA,1.11547160666776,0.799934230708975,1.07974212467669,0.906721280858004,NA,0.823194238526421,NA,0.405272837388625,0.775539148624259,0.530435980342632,0,0.754448341606111,1.18189235643305,1.85219182032495,1.94403240847995,1.87180217690159,1.70325827156988,2.21408389533587,1.54187157543835,2.6020033435384,2.13987389277673,3.25809653802148,2.52492800362477,1.98572321294947,1.07800902068844,2.52492800362477,2.1194628955166,1.36668400454325,1.90885616297845,3.93163336200479,1.75401914124521,2.34180580614733,1.29257603238953,1.38373681078651,1.38629436111989,1.44672671221679
CA_Sol_Jai_PJ33_9,NA,0.559700713625648,1.58735746454122,NA,NA,1.6731076236224,NA,1.40503590774726,1.58735746454122,0.845420119811838,NA,NA,0.948809929963766,0.892783749490067,1.42390607173868,1.69271798019904,NA,0.973202171147462,NA,0.734837985029471,0.763028151747525,0.574495334954291,0.754448341606111,0,2.21920348405499,2.07857273173057,1.74919985480926,1.94403240847995,1.45963555372976,2.1527827342897,1.99139603815818,2.13523707438407,3.17718502039868,1.40503590774726,1.90401105464318,1.92442205190331,1.77047966201866,3.15677402313855,2.75130891503038,1.6731076236224,2.13523707438407,1.6731076236224,2.09818308830721,2.50364819641537,1.30538284349708,1.32243564974034,1.11735383529548,1.92442205190331
CA_Sol_Jai_PJ34_1,NA,1.84755500193229,1.18189235643305,NA,NA,1.30538284349708,NA,2.09818308830721,2.09818308830721,1.49204728473689,NA,NA,2.55824784239787,1.48057041439219,1.96290257247137,1.69271798019904,NA,2.01465604597562,NA,1.23127487134336,1.19381106783998,1.6731076236224,1.18189235643305,2.21920348405499,0,1.6731076236224,0.93826963859293,0.798900104176945,1.17195348127798,1.45963555372976,1.48057041439219,1.15440782137234,1.56774710796457,1.69271798019904,1.14187100259628,1.79089065927878,0.714426987769343,1.21086387408323,1.54733611070445,0.825809763235198,0.882474105888699,1.23127487134336,2.79133026886715,0.798900104176945,1.38542555117062,0.870450525997282,1.81050101585543,1.6731076236224
CA_Sol_Jai_PJ34_10,NA,3.2755401675217,3.93163336200479,NA,NA,2.81341071676004,NA,NA,2.5453390008849,1.73440878466857,NA,NA,2.59993864686739,2.43855195073587,2.56420916487632,3.23848618144484,NA,3.8481063196732,NA,2.30258509299405,1.497866136777,2.52572864430826,1.85219182032495,2.07857273173057,1.6731076236224,0,2.07857273173057,1.22358316090258,1.2136442857475,1.68364791499324,1.05225758961598,1.07831559018548,1.83258146374831,1.53373808920642,1.25255467855276,2.12026353620009,2.50531764704813,0.847089570444596,0.756117792238869,1.20397280432594,1.6661022550876,1.42711635564015,1.29257603238953,2.5453390008849,1.27296567581289,1.92374224214529,0.987194382838346,1.13943428318836
CA_Sol_Jai_PJ34_11,NA,1.84755500193229,1.11735383529548,NA,NA,1.38542555117062,NA,2.28050464510116,2.09818308830721,2.09818308830721,NA,NA,1.64195711052371,1.48057041439219,1.1362239992869,1.81050101585543,NA,2.01465604597562,NA,1.56774710796457,1.5615358479653,1.56774710796457,1.94403240847995,1.74919985480926,0.93826963859293,2.07857273173057,0,1.05672921347904,0.612337693342553,1.05417044562159,1.48057041439219,1.03662478571596,0.92589322179218,0.945503578368821,1.36501455391049,0.979960443062456,0.854188930144502,1.14187100259628,1.65269662636227,0.825809763235198,0.461260640812396,1.09774347871884,1.49204728473689,1.05672921347905,0.92589322179218,1.07112122145943,0.671066732667061,1.56774710796457
CA_Sol_Jai_PJ34_12,NA,1.34924037504303,2.15948424935337,NA,NA,2.13987389277673,NA,NA,2.56494935746154,1.64865862558738,NA,NA,3.31269618400398,1.89854651937708,3.97011388257285,1.64865862558738,NA,1.30276731878831,NA,1.29257603238953,2.21062367391358,1.73440878466857,1.87180217690159,1.94403240847995,0.798900104176945,1.22358316090258,1.05672921347904,0,1.17263002050771,1.44089400710239,1.13640646733019,0.692460838653959,1.15904463976501,1.64865862558738,0.915490091190668,1.36668400454325,1.42631571495666,1.51332709194629,1.60863727175061,0.564337532018313,0.897255251299972,1.29257603238953,3.25809653802148,0.955511445027436,1.36668400454325,1.1324223825056,1.24319351747922,1.53373808920642
CA_Sol_Jai_PJ34_13,NA,1.74031225764674,2.21408389533587,NA,NA,1.15301966393107,NA,2.21408389533587,1.70325827156988,1.8086187872277,NA,NA,1.98100146886658,1.81961477273506,1.25212480631557,1.52093671477592,NA,1.61973122923829,NA,1.50132635819928,1.30971187486864,2.19447353875923,1.70325827156988,1.45963555372976,1.17195348127798,1.2136442857475,0.612337693342553,1.17263002050771,0,1.75785791755237,1.06584297035868,0.951854897282468,1.42128365052575,1.11547160666776,1.02138303156071,1.09586125009112,1.88638046904732,1.3267646811119,1.19323328848737,0.895190554628967,0.641699968978629,1.09586125009112,1.23325464232414,2.21408389533587,1.2136442857475,1.30480506414448,0.9613209268405,1.2136442857475
CA_Sol_Jai_PJ34_14,NA,2.25113788141273,1.52093671477592,NA,NA,2.19447353875923,NA,3.31269618400398,2.61954900344403,NA,NA,NA,NA,1.81961477273506,2.23295405932729,2.21408389533587,NA,2.13055685300429,NA,2.19447353875923,2.08290176310212,2.19447353875923,2.21408389533587,2.1527827342897,1.45963555372976,1.68364791499324,1.05417044562159,1.44089400710239,1.75785791755237,0,0.721002484066948,0.577161447841058,0.654028497812079,0.571856160078777,1.07545025283099,0.489725446520803,1.19323328848737,1.56792673792878,1.3267646811119,1.27818280688507,1.04716507708679,0.808179177639337,1.01011109100993,0.422324426107813,0.808179177639337,0.676196404722105,0.747746826542441,1.78900843065106
